base,branch,arm,arch,flags,membar_sys,membar_gpu,membar_cta,errbar,cctl,st_mmio_sys,st_strong_sys,st_strong_gpu,st_global_weak,ld_strong_sys,ld_strong_gpu,ld_global_weak,stl,ldl,shared,ldc,atom_sys,atom_gpu,red_sys,red_gpu,atoms_shared,match,shfl,vote,warpsync,bar_sync,bssy_bsync,redux,nanosleep_yield,bra,exit,other,instructions
0b24e73,attribution,baseline,sm90,,6,6,12,24,9,66,0,6,4,3,11,61,120,134,52,37,0,8,0,0,4,12,18,14,12,0,130,12,29,147,2,845,1784
0b24e73,attribution,baseline,sm100,,6,6,12,24,9,66,0,6,4,3,11,63,120,134,52,38,0,8,0,0,4,12,18,14,12,0,142,12,27,165,2,654,1624
0b24e73,attribution,all,sm90,SINGLE_ISSUER_PER_QP=1 WQE_REGISTER_BUILD=1 SINGLE_OWNER_FAST_PATH=1,2,0,2,4,3,52,0,0,10,3,0,64,0,12,8,27,0,0,0,0,0,0,0,0,0,0,22,0,8,22,1,232,472
0b24e73,attribution,all,sm100,SINGLE_ISSUER_PER_QP=1 WQE_REGISTER_BUILD=1 SINGLE_OWNER_FAST_PATH=1,2,0,2,4,3,52,0,0,10,3,0,64,0,12,8,28,0,0,0,0,0,0,0,0,0,0,16,0,7,20,1,216,448
0b24e73,attribution,nodoorbell,sm90,EXPERIMENT_NO_DOORBELL=1,6,6,12,24,9,62,0,6,4,1,11,53,120,126,52,36,0,8,0,0,4,12,18,14,12,0,122,12,25,141,2,822,1720
0b24e73,attribution,nodoorbell,sm100,EXPERIMENT_NO_DOORBELL=1,6,6,12,24,9,62,0,6,4,1,11,55,120,126,52,37,0,8,0,0,4,12,18,14,12,0,132,12,23,157,2,635,1560
0b24e73,attribution,nofence,sm90,SINGLE_ISSUER_PER_QP=1 EXPERIMENT_NO_FENCE_A=1 EXPERIMENT_NO_DOORBELL=1,0,6,6,12,3,62,0,6,4,1,11,53,120,126,28,36,0,8,0,0,4,12,18,14,12,0,118,12,25,141,2,824,1664
0b24e73,attribution,nofence,sm100,SINGLE_ISSUER_PER_QP=1 EXPERIMENT_NO_FENCE_A=1 EXPERIMENT_NO_DOORBELL=1,0,6,6,12,3,62,0,6,4,1,11,55,120,126,28,37,0,8,0,0,4,12,18,14,12,0,128,12,23,157,2,637,1504
0b24e73,attribution,nommio,sm90,EXPERIMENT_NO_MMIO=1,6,6,12,24,9,0,0,6,4,1,11,51,120,64,52,37,0,8,0,0,4,12,18,14,12,0,96,12,21,117,2,633,1352
0b24e73,attribution,nommio,sm100,EXPERIMENT_NO_MMIO=1,6,6,12,24,9,0,0,6,4,1,11,53,120,64,52,37,0,8,0,0,4,12,18,14,12,0,98,12,21,127,2,539,1272
0b24e73,attribution,nofence-nommio,sm90,SINGLE_ISSUER_PER_QP=1 EXPERIMENT_NO_FENCE_A=1 EXPERIMENT_NO_MMIO=1,0,6,6,12,3,0,0,6,4,1,11,51,120,64,28,37,0,8,0,0,4,12,18,14,12,0,96,12,21,117,2,631,1296
0b24e73,attribution,nofence-nommio,sm100,SINGLE_ISSUER_PER_QP=1 EXPERIMENT_NO_FENCE_A=1 EXPERIMENT_NO_MMIO=1,0,6,6,12,3,0,0,6,4,1,11,53,120,64,28,37,0,8,0,0,4,12,18,14,12,0,98,12,21,127,2,545,1224
0b24e73,attribution,nofence-nommio-noatomic,sm90,SINGLE_ISSUER_PER_QP=1 EXPERIMENT_NO_FENCE_A=1 EXPERIMENT_NO_MMIO=1 EXPERIMENT_NO_ATOMICS=1,0,0,0,0,1,0,0,0,2,1,1,49,94,14,0,35,0,0,0,0,0,10,4,10,12,0,56,10,4,63,2,432,800
0b24e73,attribution,nofence-nommio-noatomic,sm100,SINGLE_ISSUER_PER_QP=1 EXPERIMENT_NO_FENCE_A=1 EXPERIMENT_NO_MMIO=1 EXPERIMENT_NO_ATOMICS=1,0,0,0,0,1,0,0,0,2,1,1,51,94,14,0,35,0,0,0,0,0,10,4,10,12,0,48,10,4,61,2,360,720
0b24e73,attribution,nofence-nommio-noatomic-regwqe-nogroups,sm90,SINGLE_ISSUER_PER_QP=1 EXPERIMENT_NO_FENCE_A=1 EXPERIMENT_NO_MMIO=1 EXPERIMENT_NO_ATOMICS=1 WQE_REGISTER_BUILD=1 EXPERIMENT_NO_GROUPS=1,0,0,0,0,1,0,0,0,2,1,1,6,0,4,0,12,0,0,0,0,0,0,0,0,0,0,4,0,2,7,1,71,112
0b24e73,attribution,nofence-nommio-noatomic-regwqe-nogroups,sm100,SINGLE_ISSUER_PER_QP=1 EXPERIMENT_NO_FENCE_A=1 EXPERIMENT_NO_MMIO=1 EXPERIMENT_NO_ATOMICS=1 WQE_REGISTER_BUILD=1 EXPERIMENT_NO_GROUPS=1,0,0,0,0,1,0,0,0,30,1,1,62,0,4,0,12,0,0,0,0,0,0,0,0,0,0,6,0,2,14,1,114,248
